season,seasonLabel,teamId,team,conference,athleteId,name,position,games,starts,minutes,points,turnovers,fouls,assists,steals,blocks,usage,offensiveRating,PORPAG,effectiveFieldGoalPct,trueShootingPct,assistsTurnoverRatio,freeThrowRate,offensiveReboundPct,fieldGoals_pct,fieldGoals_attempted,fieldGoals_made,twoPointFieldGoals_pct,twoPointFieldGoals_attempted,twoPointFieldGoals_made,threePointFieldGoals_pct,threePointFieldGoals_attempted,threePointFieldGoals_made,freeThrows_pct,freeThrows_attempted,freeThrows_made,rebounds_total,rebounds_defensive,rebounds_offensive,winShares_totalPer40,winShares_total,winShares_defensive,winShares_offensive,defensiveRating,netRating
2005,20042005,14,Arkansas-Pine Bluff,SWAC,89453,Tamarius Brown,G,17,0,526,224,49,25,42,28,3,28.0,86.3,-0.2,43.1,0.447,0.86,11.8,19.4,35.3,238,84,42.0,112,47,29.4,126,37,67.9,28,19,72,58,14,,,,,,
2005,20042005,14,Arkansas-Pine Bluff,SWAC,89455,Richard Patterson,F,7,0,36,8,7,5,1,2,1,26.3,52.0,-0.8,31.8,0.337,0.14,18.2,40.0,27.3,11,3,33.3,6,2,20.0,5,1,50.0,2,1,10,6,4,,,,,,
2005,20042005,14,Arkansas-Pine Bluff,SWAC,91461,Benjamin Culp,F,18,0,370,99,22,36,9,6,3,18.7,82.1,-0.4,37.1,0.416,0.41,40.6,40.3,36.6,101,37,36.4,99,36,50.0,2,1,58.5,41,24,62,37,25,,,,,,
2005,20042005,14,Arkansas-Pine Bluff,SWAC,91462,Julian Harris,C,16,0,174,45,22,27,6,1,5,21.3,68.1,-0.7,36.4,0.416,0.27,52.3,39.3,36.4,44,16,37.2,43,16,0.0,1,0,56.5,23,13,28,17,11,,,,,,
2005,20042005,14,Arkansas-Pine Bluff,SWAC,91463,Cortney Lee,C,13,0,55,11,8,12,1,1,4,21.0,49.8,-0.5,38.5,0.362,0.13,38.5,20.0,38.5,13,5,38.5,13,5,0.0,0,0,20.0,5,1,5,4,1,,,,,,
2005,20042005,14,Arkansas-Pine Bluff,SWAC,91464,Jamaal Bibles,G,9,0,144,31,19,11,6,7,0,19.0,62.7,-1.3,40.6,0.431,0.32,28.1,26.7,34.4,32,11,53.8,13,7,21.1,19,4,55.6,9,5,15,11,4,,,,,,
2005,20042005,15,Army,Patriot,82727,Corban Bates,F,3,0,43,14,6,3,3,2,1,27.5,80.1,-0.5,45.5,0.497,0.5,63.6,36.4,45.5,11,5,45.5,11,5,0.0,0,0,57.1,7,4,11,7,4,,,,,,
2005,20042005,15,Army,Patriot,82728,Ryan Hodgson,G,8,0,16,2,1,0,0,2,0,14.7,48.4,-0.2,33.3,0.333,0.0,0.0,0.0,33.3,3,1,33.3,3,1,0.0,0,0,0.0,0,0,1,1,0,,,,,,
2005,20042005,15,Army,Patriot,82729,Grant Carter,G,22,0,368,124,17,20,7,4,1,18.0,105.4,0.9,61.8,0.637,0.41,10.8,12.9,41.9,93,39,33.3,6,2,42.5,87,37,90.0,10,9,31,27,4,,,,,,
2005,20042005,15,Army,Patriot,82730,Jarell Brown,G,18,0,157,61,16,5,6,5,0,26.6,83.8,-0.2,52.7,0.537,0.38,7.3,25.0,40.0,55,22,50.0,16,8,35.9,39,14,75.0,4,3,8,6,2,,,,,,
2005,20042005,15,Army,Patriot,85281,Jimmy Sewell,C,25,0,363,96,21,41,5,9,29,20.5,78.2,-0.5,42.8,0.446,0.24,7.7,16.9,38.5,104,40,40.8,76,31,32.1,28,9,87.5,8,7,71,59,12,,,,,,
2005,20042005,15,Army,Patriot,85282,Cory Sinning,G,26,0,782,198,56,44,61,29,1,17.6,93.2,0.5,48.7,0.539,1.09,36.7,13.1,44.9,158,71,47.6,124,59,35.3,34,12,75.9,58,44,84,73,11,,,,,,
2005,20042005,15,Army,Patriot,85283,Marshall Jackson,G,25,0,284,35,21,33,22,9,1,13.4,69.7,-0.5,34.5,0.384,1.05,19.0,20.0,31.0,42,13,31.3,32,10,30.0,10,3,75.0,8,6,30,24,6,,,,,,
